filename,transaction_loop,line_no,sha256_hash,entity_identifier_code,entity_type_qualifier,subscriber_last_name,subscriber_first_name,subscriber_middle_name_or_initial,identification_code_qualifier,subscriber_primary_identifier,subscriber_address_line,subscriber_address_line,subscriber_city_name,subscriber_state_code,subscriber_postal_zone_or_zip_code,location_identifier,date_time_period_format_qualifier,subscriber_birth_date,subscriber_gender_code,reference_identification_qualifier,subscriber_supplemental_identifier,subscriber_name_suffix
DEIDENT_INTHB0837I_286230_10160249.txt,2010BA,20,c58efc3e78ef86cdbe7fddddbf7f32f25f597676fe6a2a5239ab8bb7cc80e55b,IL,1,Huffman,Thomas,P,MI,41671401846,"17511 Chad Drives Suite 528
Albertmouth, TN 52435","17511 Chad Drives Suite 528
Albertmouth, TN 52435",Rodneymouth,AE,50759,98,D8,1960-03-06,M,,,DVM
DEIDENT_INTHB0837I_286230_10160249.txt,2010BA,82,c58efc3e78ef86cdbe7fddddbf7f32f25f597676fe6a2a5239ab8bb7cc80e55b,IL,1,Pierce,Jeffrey,Q,MI,92116964086,"690 Little Stravenue
Santosville, CO 22744","690 Little Stravenue
Santosville, CO 22744",East Michelle,AA,02727,98,D8,1930-05-11,F,,,DDS
DEIDENT_INTHB0837I_286230_10160249.txt,2010BA,106,c58efc3e78ef86cdbe7fddddbf7f32f25f597676fe6a2a5239ab8bb7cc80e55b,IL,1,Hill,Richard,,MI,42556129277,"8923 David Walks Suite 129
North Alison, TN 40320","8923 David Walks Suite 129
North Alison, TN 40320",Greenfurt,AA,68725,98,D8,1919-08-31,M,,,MD
DEIDENT_INTHB0837I_286230_10160249.txt,2010BA,143,c58efc3e78ef86cdbe7fddddbf7f32f25f597676fe6a2a5239ab8bb7cc80e55b,IL,1,Jones,James,,MI,55701042549,"13203 Davis Ports
Joshuafurt, TN 45014","13203 Davis Ports
Joshuafurt, TN 45014",Mitchellmouth,AP,52182,98,D8,1975-10-22,M,,,DDS
DEIDENT_INTHB0837I_286230_10160249.txt,2010BA,193,c58efc3e78ef86cdbe7fddddbf7f32f25f597676fe6a2a5239ab8bb7cc80e55b,IL,1,Choi,Michelle,L,MI,1610568484,"22247 Mark Divide Apt. 150
Johnmouth, NJ 26142","22247 Mark Divide Apt. 150
Johnmouth, NJ 26142",Greenburgh,AE,08909,98,D8,1915-07-05,M,,,MD
DEIDENT_INTHB0837I_286230_10160249.txt,2010BA,237,c58efc3e78ef86cdbe7fddddbf7f32f25f597676fe6a2a5239ab8bb7cc80e55b,IL,1,Barnes,Alyssa,Q,MI,86263465242,"976 Benjamin Hill Suite 098
Taylorville, AZ 91204","976 Benjamin Hill Suite 098
Taylorville, AZ 91204",West Jesseton,AP,75991,,,1921-01-11,,,,MD
DEIDENT_INTHB0837I_286230_10160249.txt,2010BA,267,c58efc3e78ef86cdbe7fddddbf7f32f25f597676fe6a2a5239ab8bb7cc80e55b,IL,1,Hahn,Timothy,P,MI,5360664472,"4206 Rice Park Apt. 891
Garcialand, IN 23276","4206 Rice Park Apt. 891
Garcialand, IN 23276",Perryborough,AE,52766,98,D8,1907-08-26,F,,,II
DEIDENT_INTHB0837I_286230_10160249.txt,2010BA,302,c58efc3e78ef86cdbe7fddddbf7f32f25f597676fe6a2a5239ab8bb7cc80e55b,IL,1,Marquez,Kimberly,L,MI,56289177035,"151 Dylan Trail
Port Elizabeth, AK 37061","151 Dylan Trail
Port Elizabeth, AK 37061",Romerofurt,AP,82282,98,D8,1942-03-18,M,SY,708980255,PhD
DEIDENT_INTHB0837I_286230_10160249.txt,2010BA,345,c58efc3e78ef86cdbe7fddddbf7f32f25f597676fe6a2a5239ab8bb7cc80e55b,IL,1,Mcdaniel,Amanda,P,MI,17997614202,"102 Johnson Streets Apt. 686
New Stephanie, PA 40545","102 Johnson Streets Apt. 686
New Stephanie, PA 40545",Thompsonfort,AP,10005,98,D8,1937-10-22,F,,,DDS
DEIDENT_INTHB0837I_286230_10160249.txt,2010BA,418,c58efc3e78ef86cdbe7fddddbf7f32f25f597676fe6a2a5239ab8bb7cc80e55b,IL,1,Klein,Jesse,L,MI,85317499587,"94672 Alexis Ville
Taraborough, MT 68239","94672 Alexis Ville
Taraborough, MT 68239",Port Meghanburgh,AP,21141,98,D8,1909-06-03,F,,,DDS
